Source,n,Mean Rank,Median Rank,Hits@1,Hits@10,Hits@50,Mean AUC,MRR
PMC6562004,1228,680.5895765472312,329.5,0.015472312703583062,0.07166123778501629,0.20276872964169382,0.8691083250101636,0.03672429624228567
PMC7082194,122,492.91803278688525,175.0,0.01639344262295082,0.08196721311475409,0.22950819672131148,0.9052546161812626,0.043796406432279215
ahmed-pmid28454995,88,582.5113636363636,239.5,0.011363636363636364,0.045454545454545456,0.26136363636363635,0.8879985817341365,0.027761187120844702
ahmed-variants,200,698.095,298.5,0.03,0.075,0.22,0.8657367103235747,0.0501208358410766
fawzan-variants,460,696.0978260869565,297.0,0.008695652173913044,0.07391304347826087,0.19782608695652174,0.8661213740202318,0.030785925430588775
marwa-variants,1064,364.57424812030075,93.0,0.05357142857142857,0.18421052631578946,0.37781954887218044,0.9299741432742101,0.09815574064397199
